ClkCycle:         27, pc_rdata: 0000001c, pc_wdata: 00000020, insn: 12df8f93, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 13, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 4000112d, mem_addr: 4000112d, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         28, pc_rdata: 00000020, pc_wdata: 00000024, insn: 301f9073, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr:  1, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 8000225a, mem_addr: 8000225a, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         29, pc_rdata: 00000024, pc_wdata: 00000028, insn: 0000b997, mode: 3, rs1_addr:  1, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 19, rd_wdata: 0000b024, mem_addr: 0000b024, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         30, pc_rdata: 00000028, pc_wdata: 0000002c, insn: c6298993, mode: 3, rs1_addr: 19, rs1_rdata: 00000000, rs2_addr:  2, rs2_rdata: 00000000, rd_addr: 19, rd_wdata: 0000ac86, mem_addr: 0000ac86, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         31, pc_rdata: 0000002c, pc_wdata: 00000030, insn: 00000f97, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 0000002c, mem_addr: 0000002c, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         32, pc_rdata: 00000030, pc_wdata: 00000034, insn: 2caf8f93, mode: 3, rs1_addr: 31, rs1_rdata: 4000112d, rs2_addr: 10, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 000002f6, mem_addr: 000002f6, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         33, pc_rdata: 00000034, pc_wdata: 00000038, insn: 000fef93, mode: 3, rs1_addr: 31, rs1_rdata: 4000112d, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 000002f6, mem_addr: 000002f6, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         34, pc_rdata: 00000038, pc_wdata: 0000003c, insn: 305f9073, mode: 3, rs1_addr: 31, rs1_rdata: 0000002c, rs2_addr:  5, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00005ec0, mem_addr: 00005ec0, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         35, pc_rdata: 0000003c, pc_wdata: 00000040, insn: 00000f97, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 0000003c, mem_addr: 0000003c, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         36, pc_rdata: 00000040, pc_wdata: 00000044, insn: 020f8f93, mode: 3, rs1_addr: 31, rs1_rdata: 000002f6, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 0000005c, mem_addr: 0000005c, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         37, pc_rdata: 00000044, pc_wdata: 00000048, insn: 341f9073, mode: 3, rs1_addr: 31, rs1_rdata: 000002f6, rs2_addr:  1, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 000000b8, mem_addr: 000000b8, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         38, pc_rdata: 00000048, pc_wdata: 0000004a, insn: 00006f91, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 00004000, mem_addr: 00004000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         39, pc_rdata: 0000004a, pc_wdata: 0000004a, insn: 00006f91, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         40, pc_rdata: 0000004a, pc_wdata: 0000004c, insn: 800f8f93, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
